genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
kindie rock,0.6363972222222223,0.7162361111111112,179323.3055555556,0.3000277777777778,0.14488633166666665,0.2507611111111112,-10.817888888888891,0.1283472222222222,126.9302222222222,0.6835416666666667,39.29166666666668,2,1
kingston on indie,0.2207247790660226,0.5039774557165861,221021.19806763285,0.7458257648953301,0.0591605702415459,0.2562119162640902,-8.118979871175522,0.12934597423510466,125.49118760064415,0.6484280193236716,30.56763285024155,7,1
kirtan,0.7727611111111109,0.2559277777777777,508474.0277777778,0.2063936111111111,0.4653013666666668,0.13880138888888888,-18.262791666666672,0.048951388888888885,112.61508333333332,0.15586388888888889,46.08333333333334,2,1
kiwi rock,0.3328081576735093,0.5962042033235582,233390.63352883677,0.5610891495601172,0.08939973849462368,0.3386001955034213,-9.386918866080157,0.061915347018572826,119.51693147605083,0.5495381231671553,46.63870967741936,11,1
kizomba antigas,0.0483,0.738,342760.0,0.564,0.77,0.0724,-12.084000000000001,0.0381,108.902,0.9329999999999999,35.0,0,1
kleine hoerspiel,0.6454226666666665,0.6954479999999998,241825.298,0.19259866666666667,4.334026666666668e-06,0.3830116,-22.590532666666665,0.917916,96.53758066666668,0.5444283999999999,6.331333333333332,8,1
klezmer,0.7802505175983439,0.5699016563146998,171198.4968944099,0.4061229813664595,0.01475842726708075,0.24043975155279504,-12.58205900621118,0.08332256728778469,122.29647929606628,0.6945973084886129,15.836438923395445,0,1
knoxville indie,0.01454,0.4543333333333333,205120.0,0.875,2.9199999999999998e-05,0.20200000000000004,-4.588333333333332,0.0457,95.41033333333333,0.7836666666666666,13.666666666666664,7,1
kodomo no ongaku,0.9805,0.335,121600.0,0.10985,5.05e-06,0.1275,-17.252499999999998,0.0364,99.056,0.1495,37.0,3,1
kolsche karneval,0.986,0.373,201771.0,0.113,0.0112,0.221,-14.696,0.0473,88.074,0.264,0.0,0,1
komedi,0.8902,0.5748333333333333,197312.31666666665,0.2783116666666667,0.036170560333333324,0.13369666666666669,-12.144933333333332,0.1986733333333333,104.3988,0.5797216666666666,5.55,7,1
kompa,0.29439577142857143,0.6476571428571429,542569.1714285715,0.7851714285714285,0.021441042857142857,0.2821371428571429,-8.566057142857144,0.06455999999999999,116.6028,0.8864571428571429,25.82857142857143,6,0
kora,0.5329999999999999,0.521,237133.0,0.0995,0.0452,0.0751,-25.416,0.0442,72.499,0.488,32.0,2,1
korean city pop,0.00262,0.672,220236.0,0.821,0.0352,0.0906,-4.136,0.0396,134.02200000000002,0.91,1.0,3,1
korean classical performance,0.9042857142857142,0.3103857142857143,260570.42857142855,0.13325714285714288,0.6763022857142857,0.14457142857142855,-25.511999999999997,0.06292857142857143,95.13528571428571,0.2433857142857143,47.85714285714285,7,0
korean classical piano,0.9935,0.3795,135913.5,0.00395,0.9465,0.0986,-37.6195,0.05245,68.906,0.3495,51.0,8,1
