,artists,years of career,song count
4980,Smokie Norful,2,3
4981,Edwin Birdsong,2,2
4982,Don Wilkerson,2,4
4983,"JAY-Z', 'Alicia Keys",2,2
4984,Smooth Jazz Family Collective,2,3
4985,Don Toliver,2,4
4986,"One Way', 'Al Hudson",2,3
4987,Smt. Vishnilal,2,2
4988,"JAY-Z', 'Beanie Sigel', 'Scarface",2,2
4989,"Snakehips', 'Tinashe', 'Chance the Rapper",2,2
4990,"Don Omar', 'Tego Calderon",2,2
4991,Sneaker Pimps,2,5
4992,"Don Omar', 'Natti Natasha",2,6
4993,"Igor Stravinsky', 'New York Philharmonic', 'Columbia Symphony Orchestra",2,20
4994,"Omnia', 'Whiteout",2,3
4995,"JAY-Z', 'Eminem",2,2
4996,Smoking Popes,2,2
4997,Donald Fagen,2,10
4998,Slum Village,2,3
4999,Donald Lawrence & The Tri-City Singers,2,2
5000,"Donovan', 'Jeff Beck",2,2
5001,J. Dash,2,2
5002,Donny & Marie Osmond,2,3
5003,Donnie McClurkin,2,4
5004,"Sly, Slick & Wicked",2,2
5005,Donnie Elbert,2,2
5006,Small Island Pride,2,5
5007,Shankar Jaikishan,2,2
5008,"Edward Elgar', 'Yehudi Menuhin', 'Adolph Baller",2,2
5009,Smif-N-Wessun,2,3
5010,"J.J. Johnson', 'Kai Winding",2,13
5011,Smith,2,2
5012,Pabla Tevo,2,5
5013,"Edward Maya', 'Vika Jigulina",2,2
5014,Edward Sharpe & The Magnetic Zeros,2,6
5015,Nils Frahm,2,2
5016,David Houston,2,2
5017,The Brute Force Steel Band,2,3
5018,Joanie Sommers,2,5
5019,"Counting Crows', 'Vanessa Carlton",2,2
5020,Napat Injaiuea,2,2
5021,Countdown Singers,2,20
5022,Napalm Death,2,2
5023,Count Von Count,2,2
5024,"Joan Sebastian', 'Prisma",2,2
5025,Naomi Scott,2,2
5026,Ted Heath,2,12
5027,"Samuel Barber', 'Vladimir Horowitz",2,12
5028,Naomi Akimoto,2,2
5029,Sandie Shaw,2,4
5030,"Nancy Wilson', 'Malcolm Addey",2,5
5031,Ted Weems & His Orchestra,2,47
5032,"Evadne Baker', 'Annalee', 'Portia Nelson', 'Marni Nixon",2,5
5033,Evan And Jaron,2,2
5034,Evanescence,2,16
5035,Nappy Roots,2,3
5036,Cowboy,2,3
5037,Coyote Oldman,2,3
5038,"Paul McCartney', 'Michael Jackson",2,3
5039,"Santana', 'Rob Thomas",2,3
5040,Highly Suspect,2,3
5041,Cranes,2,2
5042,Paul Kelly,2,2
5043,"Santana', 'Chad Kroeger",2,2
5044,Paul Lekakis,2,3
5045,Ethel Merman,2,3
5046,High Contrast,2,2
5047,Jo Stafford,2,3
5048,Hieroglyphics,2,5
5049,"Taylor Swift', 'The National",2,2
5050,Etta Jones,2,11
5051,Paul Mauriat,2,3
5052,Paul McCandless,2,2
5053,"Paul McCartney', 'Linda McCartney",2,22
5054,Evans Blue,2,2
5055,Sanctus Real,2,2
5056,"Cosmic Gate', 'Eric Lumiere",2,3
5057,Cordae,2,3
5058,Teka B,2,4
5059,"Joe ""Bean"" Esposito",2,2
5060,San Holo,2,2
5061,Samuel Hernández,2,3
5062,Temple Of The Dog,2,11
5063,Cookie Monster,2,2
5064,Cookie & The Cupcakes,2,2
5065,"Conway Twitty', 'Loretta Lynn",2,4
5066,Tenacious D,2,11
5067,Control Machete,2,4
5068,Joe Cuba,2,2
5069,"Conte Candoli', 'Jimmy Giuffre', 'Buddy Collette', 'Clyde Dunn', 'Gerald Wiggins', 'Howard Roberts', 'Curtis Counce', 'Stan Levey",2,3
5070,Paul Overstreet,2,2
5071,Connie Smith,2,6
5072,Evil Jokes,2,3
5073,"Jody Wisternoff', 'James Grant",2,2
5074,Corey Smith,2,2
5075,"Cosmic Gate', 'Emma Hewitt",2,3
5076,Teenage Fanclub,2,5
5077,Cosmic EFI,2,2
5078,Cory Morrow,2,3
5079,Corvin Burrell,2,2
5080,Jodi Benson,2,4
5081,"Cortijo Y Su Combo', 'Ismael Rivera",2,3
5082,Corti Organ,2,2
5083,Tedeschi Trucks Band,2,2
5084,Cortex,2,15
5085,Corrosion Of Conformity,2,7
5086,Coroner,2,2
5087,Corona,2,2
5088,Cornershop,2,3
5089,Hernaldo Zuniga,2,2
5090,Teen Suicide,2,4
5091,Cornelius,2,3
5092,Jinsang,2,2
5093,Paul Jacobson,2,6
5094,Jimmy Yancey,2,4
5095,Cyro Monteiro,2,2
5096,Nathan Hadley,2,3
5097,Taio Cruz,2,5
5098,Take 6,2,6
5099,Sara Sorce,2,2
5100,"Nate Metro', 'Avonlea",2,2
5101,Nate Dogg,2,2
5102,Cyndi Shadow,2,2
5103,Jimmie Vaughan,2,2
5104,Nataural,2,12
5105,"Natasha Richardson', 'Alan Cumming",2,2
5106,"Talat Mahmood', 'Geeta Dutt",2,3
5107,"Talat Mahmood', 'Lata Mangeshkar",2,2
5108,Cutting Crew,2,5
5109,Jimmy Creasey,2,2
5110,Esperanza Spalding,2,2
5111,Jimmie Lunceford & His Orchestra,2,13
5112,"Sarah Brightman', 'Andrea Bocelli",2,2
5113,Curtis Fuller,2,7
5114,Sarah Chen,2,2
5115,"Sarah Vaughan', 'Clifford Brown",2,11
5116,"Tabet', 'Pills', 'Mireille",2,3
5117,"D-Mad', 'ARTY",2,2
5118,Tabu Ley Rochereau,2,2
5119,Taco,2,3
5120,D-A-D,2,2
5121,Jim Nabors,2,2
5122,Tadeusz Dolega Mostowicz,2,1281
5123,Nathaniel Rateliff & The Night Sweats,2,4
5124,Nathan Veshecco,2,5
5125,"César Franck', 'Arturo Toscanini",2,2
5126,Himangshu Dutta,2,4
5127,"Tainy', 'Anuel AA', 'Ozuna",2,5
5128,Nathan Haines,2,2
5129,"Tainy', 'J Balvin",2,2
5130,Natanael Cano,2,4
5131,Natalino Otto,2,37
5132,Taste,2,4
5133,Tantric,2,2
5134,Tanya Chua,2,2
5135,Nat Adderley,2,6
5136,"Tanya Tucker', 'Paul Davis', 'Paul Overstreet",2,2
5137,Cronoxs,2,2
5138,Tapati Dam,2,2
5139,Jimmy Rogers,2,3
5140,Taproot,2,2
5141,Jimmy Ruffin,2,3
5142,Cristian Vasile,2,60
5143,Paul Horn,2,4
5144,Jimmy Scott,2,3
5145,Hilary Duff,2,4
5146,"Paul Jacobson', 'S-J",2,2
5147,Tarun Banerjee,2,21
5148,Crime Mob,2,2
5149,Santidev Ghosh,2,2
5150,Jimmy Page,2,2
5151,"Talking Heads', 'Jerry Harrison",2,11
5152,Santigold,2,2
5153,Tally Hall,2,8
5154,Cults,2,2
5155,Espinoza Paz,2,2
5156,Natalie Taylor,2,2
5157,Jimmy Dorsey & His Orchestra,2,6
5158,Saosin,2,6
5159,Cubicolor,2,2
5160,Sanullim,2,2
5161,Jimmy Heath,2,3
5162,Crystal Waters,2,3
5163,Natalia Lafourcade,2,2
5164,"TandMProductionCo', 'TandMMusic', 'TandMTV",2,150
5165,Cryo,2,3
5166,Crvena Jabuka,2,2
5167,Tank,2,2
5168,Joe Ely,2,3
5169,Conjunto Quisqueya,2,2
5170,"Selena Gomez', 'Marshmello",2,2
5171,"Claude Debussy', 'Pierre Bernac', 'Francis Poulenc",2,5
5172,The Beloved,2,2
5173,"Johann Sebastian Bach', 'Hilary Hahn",2,6
5174,Sam Eskin,2,17
5175,Henri Texier,2,4
5176,The Beta Band,2,87
5177,Mystery Skulls,2,2
5178,"Claude Debussy', 'Robert Casadesus', 'Gaby Casadesus",2,13
5179,"Claude Debussy', 'Philippe Entremont",2,4
5180,Evlov,2,2
5181,The Big Wu,2,15
5182,"Sam Cooke', 'The Soul Stirrers",2,8
5183,"Claude Debussy', 'Philadelphia Orchestra', 'Eugene Ormandy",2,2
5184,Henri Garat,2,4
5185,Mylène Farmer,2,2
5186,FUTURECODE,2,4
5187,"Claude Debussy', 'Jean-Yves Thibaudet",2,2
5188,"Paul van Dyk', 'ARTY",2,2
5189,"Claude Debussy', 'Yehudi Menuhin', 'Adolph Baller",2,2
5190,The Belle Stars,2,3
5191,MØ,2,2
5192,FIDLAR,2,2
5193,FINNEAS,2,3
5194,"Cliff Edwards', 'Disney Studio Chorus",2,2
5195,Cliff Bennett & The Rebel Rousers,2,50
5196,Henry Fiol,2,3
5197,"Johann Sebastian Bach', 'E. Power Biggs",2,19
5198,"Henry Carey', 'Mormon Tabernacle Choir",2,2
5199,"Clean Bandit', 'Jess Glynne",2,3
5200,Clawfinger,2,2
5201,Sam Hui,2,2
5202,Müslüm Gürses,2,2
5203,Claudine Longet,2,3
5204,"The Beatnuts', 'Big Pun', 'Cuban Linx",2,2
5205,Mägo de Oz,2,4
5206,Claude King,2,4
5207,"Mykola Dmytrovych Leontovych', 'Leonard Bernstein', 'New York Philharmonic",2,2
5208,"Hemant Kumar', 'Supriti Ghosh",2,2
5209,The Blow Monkeys,2,2
5210,The Boston Baseball Band,2,2
5211,The Boys Next Door,2,2
5212,"Clarence ""Gatemouth"" Brown",2,2
5213,Paula Tsui,2,4
5214,Myde,2,3
5215,Clan of Xymox,2,9
5216,The Brian Jonestown Massacre,2,3
5217,The Brian Setzer Orchestra,2,4
5218,"Johann Sebastian Bach', 'Orpheus Chamber Orchestra",2,3
5219,Face To Face,2,5
5220,"Johann Sebastian Bach', 'Pablo Casals', 'Paul Baumgartner",2,4
5221,My Life With The Thrill Kill Kult,2,3
5222,"Johann Sebastian Bach', 'Pablo Casals', 'Prades Festival Orchestra",2,4
5223,The Brothers Cazimero,2,3
5224,City Boy,2,2
5225,My Darkest Days,2,4
5226,Helix,2,4
5227,Clark Terry,2,2
5228,"Hemant Kumar', 'Geeta Dutt",2,2
5229,Hellogoodbye,2,2
5230,The Blue Nile,2,6
5231,"Claude Debussy', 'François-Joël Thiollier",2,2
5232,"Claude Debussy', 'Eugene Ormandy', 'Philadelphia Orchestra",2,2
5233,The Bluegrass Album Band,2,5
5234,"The Blues Brothers', 'Joe Gastwirt",2,18
5235,The Blues Brothers,2,6
5236,"Claude Debussy', 'Claudio Arrau",2,15
5237,"Claude Debussy', 'Arturo Toscanini",2,9
5238,"Claude Debussy', 'Arthur Gold', 'Robert Fizdale",2,9
5239,Paula Abdul,2,10
5240,Salomón Robles Y Sus Legendarios,2,2
5241,The Bonzo Dog Band,2,5
5242,The Boo Radleys,2,2
5243,Classics IV,2,4
5244,"Classics IV', 'Dennis Yost",2,3
5245,Sam Manning,2,3
5246,"Johann Sebastian Bach', 'Claudio Arrau",2,72
5247,Sam Phillips,2,2
5248,"Samuel Barber', 'Isaac Stern', 'Leonard Bernstein', 'New York Philharmonic",2,4
5249,Joe Smooth,2,2
5250,Joe South,2,2
5251,Herb Ellis,2,9
5252,Colony House,2,2
5253,Eximinds,2,2
5254,Colm Wilkinson,2,5
5255,Tex Beneke And His Orchestra,2,2
5256,"Tex Beneke', 'Glenn Miller Orchestra",2,2
5257,"Joe Williams', 'Count Basie",2,5
5258,Joe Williams,2,3
5259,Texas,2,2
5260,"Samuel A. Ward', 'Mormon Tabernacle Choir', 'Jerold D. Ottley', 'Columbia Symphony Orchestra",2,3
5261,"Samuel A. Ward', 'Mormon Tabernacle Choir', 'Eugene Ormandy', 'Philadelphia Orchestra",2,2
5262,NLE Choppa,2,3
5263,NIKI,2,2
5264,Terry Reid,2,3
5265,Colter Wall,2,4
5266,"Henryk Wieniawski', 'Isaac Stern', 'Efrem Kurtz', 'New York Philharmonic",2,8
5267,Terry Callier,2,5
5268,Paul Petersen,2,3
5269,Conjunto Chaney,2,2
5270,Herbie Mann,2,6
5271,Conflict,2,2
5272,Paul Revere & The Raiders,2,5
5273,Conan Gray,2,7
5274,Nada Surf,2,2
5275,Tercer Cielo,2,3
5276,Paul Robeson,2,2
5277,Joe Largo,2,4
5278,"Nacho Chapado', 'Smaz', 'Sue McLaren",2,3
5279,Joe Lovano,2,2
5280,Terrence Mann,2,3
5281,Commander Cody and His Lost Planet Airmen,2,4
5282,"NWYR', 'Andrew Rayel",2,3
5283,Joel e Gaúcho,2,3
5284,NEFFEX,2,2
5285,"Clifford Brown', 'Max Roach",2,5
5286,Cock Sparrer,2,11
5287,N.E.R.D,2,4
5288,"Johann Sebastian Bach', 'Andrés Segovia",2,13
5289,Coalesce,2,2
5290,The Arctic Zone,2,3
5291,Paul Weller,2,3
5292,The Art Of Noise,2,5
5293,The Associates,2,2
5294,The Astronauts,2,3
5295,The Ataris,2,3
5296,Cloud One,2,2
5297,Clive Richardson,2,3
5298,ClipsAndPatterns,2,2
5299,The Baboon Show,2,2
5300,The Band Of Heathens,2,3
5301,Climax,2,2
5302,Cock Robin,2,3
5303,"The Andrews Sisters', 'Vic Schoen & His Orchestra",2,2
5304,The Abyssinians,2,2
5305,Coda,2,2
5306,NB Ridaz,2,3
5307,"Eydie Gormé', 'Los Panchos",2,28
5308,The Airborne Toxic Event,2,2
5309,"Johann Jakob Froberger', 'Andrés Segovia",2,2
5310,Cold,2,6
5311,Paul Taylor,2,2
5312,Samaresh Chowdhury,2,2
5313,Eyeless In Gaza,2,23
5314,"Johann Pachelbel', 'Jean-François Paillard', 'Orchestre de chambre Jean-François Paillard",2,2
5315,Ezio Pinza,2,2
5316,The Amboy Dukes,2,3
5317,N2DEEP,2,2
5318,N.R.G,2,2
5319,N.O.R.E.,2,2
5320,"Code Black', 'Atmozfears",2,3
5321,Taana Gardner,2,2
5322,TV Girl,2,4
5323,D-Train,2,4
5324,Patrick Hernandez,2,2
5325,"Suffused', 'Silinder",2,3
5326,Jeannie Seely,2,2
5327,"Enur', 'Natasja",2,2
5328,"Jeezy', '2 Chainz",2,2
5329,Sugababes,2,2
5330,Seamus Kennedy,2,2
5331,Environments,2,2
5332,"Jeezy', 'JAY-Z",2,2
5333,Hirabai Barodekar,2,3
5334,Sui Generis,2,5
5335,Suicide Silence,2,3
5336,"Nicki Minaj', 'Drake', 'Lil Wayne",2,2
5337,"Sujan Majhi', 'Girin Chakraborty",2,7
5338,Enzo Enzo,2,2
5339,Danity Kane,2,2
5340,"Nicki Minaj', 'Ariana Grande",2,2
5341,Entombed,2,4
5342,Jeanne Aubert,2,2
5343,Jeanette,2,12
5344,Suffocation,2,3
5345,"Jean Sibelius', 'Leonard Bernstein', 'New York Philharmonic",2,2
5346,Howard Huntsberry,2,2
5347,Nicola Di Bari,2,6
5348,Subinoy Roy,2,2
5349,Howard Hewett,2,3
5350,Jean-Jacques Perrey,2,5
5351,"Sublime', 'Gwen Stefani",2,2
5352,Suburban Lawns,2,6
5353,Sudha Malhotra,2,2
5354,Sean Jay Dee,2,4
5355,Danza Invisible,2,2
5356,Sue Raney,2,2
5357,Patrick Cowley,2,3
5358,"Patrick Doyle', 'Robert Ziegler', 'Tony Hymas",2,4
5359,Suer Thanapon,2,2
5360,"Nicki Minaj', '2 Chainz",2,2
5361,Nickel Creek,2,3
5362,Daniela Andrade,2,3
5363,Screaming Trees,2,6
5364,Dani Masi,2,3
5365,Sunil Ghosh,2,2
5366,Danger Danger,2,5
5367,Sunil Roy,2,2
5368,"Sunlounger', 'Zara",2,2
5369,Jellyfish,2,2
5370,"Nicholas Brodszky', 'Mario Lanza', 'Constantine Callinicos",2,4
5371,Danai Stratigopoulou,2,17
5372,Nice & Smooth,2,4
5373,Sunstryk,2,4
5374,Jennifer Hudson,2,2
5375,Super Banda G,2,2
5376,Scott McKenzie,2,2
5377,Super Grupo Colombia,2,3
5378,"Jennifer Lopez', 'Pitbull",2,4
5379,Nicholas Hooper,2,4
5380,Suncatcher,2,2
5381,"Suman Kalyanpur', 'Mohammed Rafi",2,2
5382,Screeching Weasel,2,3
5383,Sea Wolf,2,2
5384,"Nick Panlook', 'Chris Johns",2,2
5385,Daniel Santos,2,4
5386,Jeff Carson,2,2
5387,Erasmo Carlos,2,7
5388,Jeff Danna,2,2
5389,Jeff Foxworthy,2,3
5390,Nick Jonas,2,3
5391,Daniel Kobialka,2,2
5392,"Nick Jonas', 'Tinashe",2,2
5393,Summer Walker,2,6
5394,Sun,2,2
5395,"Daniel Caesar', 'Kali Uchis",2,2
5396,"Patrick Swayze', 'Wendy Fraser",2,2
5397,"Daniel Bedingfield', ""D'N'D Productions""",2,2
5398,Patricia Teherán,2,3
5399,Enrique Guzman,2,21
5400,Darren Porter,2,2
5401,Jay-Jay Johanson,2,3
5402,Enchantment,2,7
5403,Jay-Roc,2,2
5404,David Broza,2,2
5405,Passion Pit,2,5
5406,JayDaYoungan,2,2
5407,Jaya,2,2
5408,David Bowie & The Spiders From Mars,2,4
5409,David Bisbal,2,2
5410,Section 25,2,2
5411,Endorphine,2,3
5412,Secret Weapon,2,2
5413,David Banner,2,2
5414,Hugh Mundell,2,3
5415,"Stone Poneys', 'Linda Ronstadt",2,6
5416,David Ball,2,4
5417,"Jay-Roc', 'Jakebeatz",2,2
5418,Hugo Friedhofer,2,4
5419,"David Allan Coe', 'George Jones",2,2
5420,Nikos Karakostas,2,30
5421,Selah,2,2
5422,Steve Vai,2,6
5423,"David Guetta', 'Akon",2,3
5424,Steve Young,2,3
5425,Steven Halpern,2,2
5426,David Gilmour,2,15
5427,Hugo Montenegro,2,6
5428,Stevie B,2,8
5429,"Stevie Nicks', 'Don Henley",2,2
5430,Nikos Perdikis,2,2
5431,David Essex,2,2
5432,"Jay Rock', 'Kendrick Lamar",2,2
5433,David Darling,2,2
5434,"Seether', 'Amy Lee",2,2
5435,David Crosby,2,10
5436,Pastor T.L. Barrett and the Youth for Christ Choir,2,8
5437,"Nikolai Rimsky-Korsakov', 'Philadelphia Orchestra', 'Eugene Ormandy",2,7
5438,Nicole Croisille,2,2
5439,"Dave Dee, Dozy, Beaky, Mick & Tich",2,2
5440,Streetlight Manifesto,2,4
5441,Daughter,2,4
5442,Stromae,2,4
5443,Dash Berlin,2,9
5444,"Dash Berlin', 'Chris Madin",2,2
5445,Night Lovell,2,4
5446,Pat Travers Band,2,3
5447,Studio Musicians,2,6
5448,Jean Moscopol,2,44
5449,"Daryl Hall & John Oates', 'Arif Mardin', 'Gene Paul",2,8
5450,Daryl Coley,2,2
5451,Daryl Braithwaite,2,3
5452,Nicolette Larson,2,3
5453,"Nicole Kidman', 'Ewan McGregor",2,2
5454,"Enrique Granados', 'Andrés Segovia",2,4
5455,Strawbs,2,4
5456,Stratovarius,2,3
5457,Secondhand Serenade,2,2
5458,Dave Edmunds,2,6
5459,"Davey Asprey', 'Beatsole",2,2
5460,Storm Weather Shanty Choir,2,4
5461,Story Of The Year,2,8
5462,Pat Carroll,2,2
5463,Stratos Dionisiou,2,2
5464,Pat Green,2,4
5465,"Huey ""Piano"" Smith",2,4
5466,"Stratos Pagioumtzis', 'Kostas Roukounas",2,2
5467,Hues Corporation,2,2
5468,Dave Matthews,2,3
5469,Pat Kelly,2,2
5470,Dave Loggins,2,2
5471,"Niklas Harding', 'Arcane",2,2
5472,Dave Hollister,2,3
5473,"Sebastian Yatra', 'Guaynaa",2,6
5474,"Dan McKie', 'Orbital', 'Dezza",2,2
5475,Eric Darius,2,3
5476,Dan Hill,2,2
5477,"Erik Satie', 'Pierre Bernac', 'Francis Poulenc",2,4
5478,Neko Case,2,3
5479,"DJ Khaled', 'Drake', 'Rick Ross', 'Lil Wayne",2,2
5480,Nek,2,3
5481,Jesse Winchester,2,2
5482,DJ Jock,2,3
5483,Neill Solomon,2,2
5484,DJ Jean,2,5
5485,System,2,3
5486,Satyen Ghosal,2,4
5487,DJ Furax,2,2
5488,DJ Fleg,2,2
5489,Neight,2,2
5490,Holly Dunn,2,2
5491,"T-Pain', 'Joey Galaxy",2,2
5492,Jet Black Joe,2,2
5493,Nektar,2,3
5494,"Erik Satie', 'Philippe Entremont",2,27
5495,"Ernest Bloch', 'Isaac Stern",2,3
5496,Syndicate Of Sound,2,2
5497,Nelson Cavaquinho,2,2
5498,Jesse Cook,2,3
5499,Saving Abel,2,4
5500,"DJ Pilizhao', 'Challenger Beats",2,2
5501,Jesse Johnson,2,4
5502,DJ NikolaevV,2,3
5503,Saves The Day,2,5
5504,"Erik Satie', 'Klara Kormendi",2,4
5505,Syl Johnson,2,5
5506,"Nelly', 'Kelly Rowland",2,4
5507,Sylvan Esso,2,3
5508,Sylvester Weaver,2,2
5509,Homer & Jethro,2,2
5510,"Paul Anka', 'Odia Coates",2,4
5511,Sylvia,2,2
5512,Paul Carrack,2,91
5513,"Ernest Bloch', 'Jascha Heifetz",2,10
5514,"Erik Satie', 'Francis Poulenc",2,20
5515,Ernestine Anderson,2,4
5516,Jim & Jesse,2,12
5517,"Jim Brickman', 'Collin Raye', 'Susan Ashton",2,2
5518,"Jim Brickman', 'Jordan Hill', 'Billy Porter",2,2
5519,"Jim Brickman', 'Martina McBride",2,2
5520,TIK,2,2
5521,TK from Ling tosite sigure,2,2
5522,D.O.A.,2,3
5523,D.J. Rogers,2,3
5524,D.I.,2,6
5525,Ernie Englund,2,3
5526,Naum Petreski,2,7
5527,"Eros Ramazzotti', 'Luca Bignardi",2,2
5528,D. K. Pattammal,2,3
5529,Nature Sounds,2,6
5530,Jim Ed Brown,2,2
5531,DAVE RODGERS,2,3
5532,Nazia Hassan,2,4
5533,"T. M. Soundararajan', 'P. Susheela",2,2
5534,Jibbeat,2,2
5535,Sasha Sloan,2,2
5536,Ned Doheny,2,5
5537,Necton,2,19
5538,DJ Chill del Mar,2,5
5539,T. S. Bhagavathi,2,5
5540,"Jhay Cortez', 'Bad Bunny",2,5
5541,"DJ Caspa', 'Suzi Pink Rocket",2,2
5542,"Jhay Cortez', 'J Balvin', 'Bad Bunny",2,7
5543,Hoagy Carmichael,2,18
5544,Necro Facility,2,3
5545,Saroj Velinkar,2,3
5546,Saroj Borkar,2,2
5547,Sarla Devi,2,4
5548,"Jhené Aiko', 'Swae Lee",2,6
5549,Ncrypta,2,7
5550,Jesse & Joy,2,3
5551,Swirlies,2,3
5552,Jennifer Rush,2,2
5553,"Daddy Yankee', 'Wisin & Yandel",2,2
5554,"Daddy Yankee', 'Snow",2,4
5555,"Daddy Yankee', 'Snoop Dogg",2,6
5556,"Suraiya', 'Mohammed Rafi",2,3
5557,"Daddy Yankee', 'Prince Royce",2,3
5558,"Daddy Yankee', 'Ozuna",2,5
5559,Scatman John,2,3
5560,"Daddy Yankee', 'Bad Bunny",2,3
5561,"Jermaine Dupri', 'Diddy', 'Snoop Dogg', 'Murphy Lee",2,2
5562,Scary Kids Scaring Kids,2,2
5563,"Erich Wolfgang Korngold', 'Jascha Heifetz', 'Alfred Wallenstein",2,6
5564,Horace Silver Quintet,2,12
5565,Suresh Wadkar,2,2
5566,Surf Curse,2,3
5567,Horace Parlan,2,2
5568,"Surinder Kaur', 'Ram Kamlani",2,2
5569,Jeremy Soule,2,7
5570,New York Dolls,2,20
5571,Jerome Isma-Ae,2,3
5572,"Daft Punk', 'Pharrell Williams', 'Nile Rodgers",2,4
5573,Jennifer Warnes,2,2
5574,Hot Lips Page,2,23
5575,Scott Hamilton,2,2
5576,Damn Yankees,2,8
5577,Damita Jo,2,2
5578,Damien Rice,2,6
5579,Superchunk,2,3
5580,"Dalva De Oliveira', 'Francisco Alves",2,11
5581,Supergrass,2,4
5582,Eric Prydz,2,2
5583,Hot Chip,2,3
5584,Next Door But One,2,2
5585,"Dale Carnegie', 'Till Hagen', 'Stefan Kaminski",2,125
5586,Supersuckers,2,2
5587,Suprabha Sarkar,2,2
5588,Surinder Kaur,2,8
5589,New Medicine,2,2
5590,Honeymoon Suite,2,7
5591,"Erik Satie', 'Arthur Gold', 'Robert Fizdale",2,5
5592,Svend Asmussen,2,4
5593,Svend Asmussens Kvintet,2,3
5594,Neon Indian,2,2
5595,Neneh Cherry,2,2
5596,Honoré de Balzac,2,33
5597,"DJ Shah', 'Adrina Thorpe",2,4
5598,DJ Shadow,2,14
5599,"DJ Shadow', 'Mos Def",2,2
5600,"Swedish House Mafia', 'John Martin",2,2
5601,Sweet Sensation,2,5
5602,Sweet Trip,2,3
5603,Sweet,2,13
5604,Sweethearts of the Rodeo,2,3
5605,Jeru The Damaja,2,6
5606,Swing Out Sister,2,5
5607,Sven-Bertil Taube,2,5
5608,Neptune Project,2,2
5609,"Scandal', 'Patty Smyth",2,2
5610,Suzy Delair,2,4
5611,Hopsin,2,3
5612,DNCE,2,7
5613,"Susan Egan', 'Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White",2,2
5614,"ScHoolboy Q', 'Kendrick Lamar",2,2
5615,New Boyz,2,2
5616,Jerry Byrd,2,2
5617,Ericson Alexander Molano,2,2
5618,Erik De Koning,2,3
5619,Susannah McCorkle,2,2
5620,Sushila Rani,2,10
5621,Never Shout Never,2,3
5622,Suspect 44,2,3
5623,Hooverphonic,2,2
5624,Nerso,2,2
5625,Suzy Bogguss,2,4
5626,Jerrod Niemann,2,3
5627,"The Weeknd', 'Kendrick Lamar",2,2
5628,Catherine Wheel,2,2
5629,Lacy J. Dalton,2,2
5630,LaBelle,2,3
5631,Marika Kanaropoulou,2,2
5632,Marika Frantzeskopoulou,2,3
5633,Wayne Wonder,2,3
5634,Labrinth,2,6
5635,Lacuna Coil,2,4
5636,Ansel Collins,2,2
5637,We The Kings,2,3
5638,Another Bad Creation,2,3
5639,Lakshmi Bai,2,2
5640,Marie Osmond,2,2
5641,Goce Arnaudov,2,8
5642,Gabriel & Dresden,2,2
5643,"Lady Gaga', ""Colby O'Donis""",2,2
5644,Marianne Moore,2,6
5645,Annihilator,2,4
5646,Lakeside Revival,2,2
5647,Westside Connection,2,11
5648,Anthony Santos,2,2
5649,La Unión,2,3
5650,"Waylon Jennings', 'Hank Williams, Jr.",2,2
5651,La Tropa Chicana,2,4
5652,La Playa Sextet,2,4
5653,La Quinta Estacion,2,3
5654,Antonello Venditti,2,2
5655,Godspeed You! Black Emperor,2,3
5656,Washed Out,2,3
5657,"Anton Rubinstein', 'Philippe Entremont",2,2
5658,La Roux,2,3
5659,La Secta AllStar,2,2
5660,La Solucion,2,2
5661,"Anton Bruckner', 'Wiener Philharmoniker', 'Wilhelm Furtwängler",2,3
5662,Waterparks,2,2
5663,Watsky,2,2
5664,La Sonora Dinamita,2,3
5665,"La Sonora Matancera', 'Carlos Argentino",2,7
5666,Waxo,2,2
5667,"La Sonora Matancera', 'Nelson Pinedo",2,13
5668,Anti-Flag,2,5
5669,Wet Wet Wet,2,3
5670,Whack Flava,2,2
5671,Pretty Ricky,2,7
5672,Glenn Lewis,2,2
5673,Mariachi Jalisco De Pepe Villa,2,2
5674,Animal Collective,2,2
5675,Wicked Lady,2,5
5676,Anima Ghosh,2,2
5677,Maria Muldaur,2,2
5678,Wilbert Harrison,2,4
5679,Glenn Medeiros,2,3
5680,Angus & Julia Stone,2,2
5681,"Lange', 'Gareth Emery",2,2
5682,Anne Clark,2,2
5683,Angie Stone,2,3
5684,Wild Tales,2,9
5685,Angels & Airwaves,2,4
5686,Maria Bethânia,2,2
5687,"Langhorne Slim', 'The Law",2,2
5688,Angelo Badalamenti,2,10
5689,Mari Merche Y Su Orquesta,2,4
5690,Angela Winbush,2,2
5691,Why Not,2,4
5692,Anita Darian,2,2
5693,"Whitney Houston', 'The Georgia Mass Choir",2,6
5694,"Gaetano Donizetti', 'Arturo Toscanini",2,2
5695,Anna-Lena Löfgren,2,3
5696,Wheatus,2,3
5697,Glynis Johns,2,2
5698,When In Rome,2,4
5699,"Mariah Carey', 'ODB",2,2
5700,Whigfield,2,4
5701,Anna Kendrick,2,2
5702,"Richard Wagner', 'Berliner Philharmoniker', 'Herbert von Karajan",2,2
5703,Whiskeytown,2,5
5704,Whistle,2,2
5705,Anna German,2,2
5706,Ann-Margret,2,7
5707,Lalita Parulekar,2,4
5708,Prem Adib,2,6
5709,Gloria Jones,2,2
5710,Gabriel@Louis,2,6
