,artists,years of career,song count
221,JAY-Z,12,54
222,Charles Mingus,12,178
223,Herb Alpert & The Tijuana Brass,12,89
224,Charlie Parker,12,86
225,Mel Tormé,12,42
226,José Luis Perales,12,36
227,Rocío Dúrcal,12,49
228,Lefty Frizzell,12,108
229,Cal Tjader,12,60
230,Mistinguett,12,27
231,Dave Brubeck,12,66
232,Kansas,12,58
233,Selena,12,78
234,Eagles,12,156
235,Barry White,12,45
236,Chris LeDoux,12,34
237,Ice Cube,12,46
238,David Allan Coe,12,71
239,Muddy Waters,12,86
240,James Brown & The Famous Flames,12,41
241,Jackson Browne,12,63
242,Donna Summer,12,68
243,2Pac,12,90
244,Teena Marie,12,29
245,Nitty Gritty Dirt Band,12,22
246,Siouxsie and the Banshees,12,58
247,Pearl Jam,12,69
248,Carlos Y Jose,12,40
249,Bobby Darin,12,66
250,Styx,12,70
251,Gloria Estefan,12,36
252,Céline Dion,12,46
253,John Mayer,12,63
254,The Dave Brubeck Quartet,12,86
255,Journey,12,121
256,Sonic Youth,12,44
257,George Harrison,12,99
258,Carly Simon,12,34
259,Dinah Washington,12,82
260,The Charlie Daniels Band,12,48
261,Surendra,12,29
262,Thin Lizzy,12,85
263,Blake Shelton,12,23
264,Camilo Sesto,12,61
265,Various Artists,12,32
266,Marc Anthony,12,43
267,G. M. Durrani,11,24
268,Caetano Veloso,11,24
269,Leonard Cohen,11,77
270,Danny Elfman,11,27
271,Soda Stereo,11,62
272,Foo Fighters,11,63
273,Natalie Cole,11,26
274,Ozzy Osbourne,11,71
275,Ten Years After,11,109
276,Bill Withers,11,79
277,Joe Hisaishi,11,82
278,Ray Barretto,11,33
279,Bad Company,11,133
280,Cheap Trick,11,52
281,"Johnny Cash', 'June Carter Cash",11,28
282,Fall Out Boy,11,69
283,Antonio Aguilar,11,97
284,Three Dog Night,11,63
285,Bill Evans,11,98
286,Gordon Lightfoot,11,90
287,Ricky Nelson,11,73
288,Georgius,11,25
289,Sonny Rollins,11,107
290,Sly & The Family Stone,11,75
291,Sting,11,54
292,Oingo Boingo,11,60
293,Rascal Flatts,11,29
294,Bon Jovi,11,55
295,Whitney Houston,11,56
296,Suraiya,11,79
297,Fairuz,11,34
298,Los Bukis,11,110
299,"Lata Mangeshkar', 'Mukesh",11,25
300,Blue Öyster Cult,11,63
301,Stevie Nicks,11,45
302,Lynyrd Skynyrd,11,87
303,"Frédéric Chopin', 'Arthur Rubinstein",11,247
304,Patti LaBelle,11,20
305,New Order,11,80
306,Roza Eskenazi,11,141
307,Wes Montgomery,11,83
308,Dionne Warwick,11,48
309,The Gap Band,11,35
310,Coldplay,11,53
311,Lou Reed,11,49
312,Cameo,11,25
313,Javier Solís,11,177
314,Maná,11,48
315,Julie Andrews,11,29
316,Donald Byrd,11,50
317,Don Williams,11,37
318,The Band,11,62
319,Mahalia Jackson,11,108
320,Travis Tritt,11,34
321,Steve Miller Band,10,64
322,Gladys Knight & The Pips,10,47
323,Tammy Wynette,10,51
324,Blondie,10,74
325,Los Acosta,10,27
326,Joan Baez,10,71
327,Keith Urban,10,22
328,Radiohead,10,74
329,Judy Collins,10,21
330,Lucio Battisti,10,17
331,Green Day,10,112
332,Ike & Tina Turner,10,24
333,Abdel Halim Hafez,10,26
334,Paul McCartney,10,61
335,Bryan Adams,10,51
336,Taylor Swift,10,209
337,Kenny G,10,53
338,Etta James,10,49
