year,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
1920,0.6312422636103152,0.5157501432664761,0.41869957020057297,0.3542185440401148,0.2160492836676219,0.0829836676217765,0.4982100286532953
1921,0.8621051282051285,0.43217051282051294,0.2411363461538462,0.3371582873717948,0.2052185897435897,0.07895192307692306,0.3782756410256409
1922,0.8289338842975207,0.5756198347107437,0.2261726446280992,0.25477550206611577,0.25666198347107444,0.4643677685950414,0.5711900826446279
1923,0.9572467913513516,0.5773405405405401,0.2624064864864865,0.3717327250270269,0.2274621621621621,0.09394864864864867,0.6254924324324328
1924,0.9401998601694928,0.5498940677966102,0.3443466101694912,0.5817009136440676,0.23521906779661,0.092089406779661,0.6637254237288138
1925,0.962701648745521,0.5748745519713262,0.2780860215053763,0.4201959369892471,0.2372068100358422,0.11166845878136207,0.6211870967741934
1926,0.6663868848758487,0.5969149736644092,0.21050642588412327,0.33609341770504125,0.2320212942061703,0.4779189616252817,0.4370937622272383
1927,0.9158258200000028,0.6559293333333329,0.2679021333333333,0.32099203556,0.17738653333333335,0.26191533333333306,0.6696757333333335
1928,0.9391407145098026,0.5349066666666661,0.2088558196078431,0.4909548132156862,0.17465733333333328,0.15864533333333336,0.4974123137254902
1929,0.6010148370136718,0.6478398527865401,0.2419077812828597,0.2154050868243956,0.2359770767613036,0.4904637223974763,0.6368048370136701
1930,0.9356248883881172,0.5197101802757159,0.33485984093319204,0.35186930079003176,0.22063483563096506,0.12019793213149516,0.6160890774125142
1931,0.8331824380165301,0.5948927685950423,0.2347364493801655,0.22192114648760364,0.2272462809917355,0.4527522727272729,0.5128472107438018
1932,0.7733629156010245,0.6022140664961636,0.27836227621483395,0.15546704255754482,0.21875447570332496,0.41988734015345264,0.5988533248081837
1933,0.8908802495726501,0.5700692307692304,0.2867542735042735,0.18238781868945853,0.20972108262108247,0.09092806267806268,0.5986485754985753
1934,0.888513707216495,0.529168384879725,0.2635702749140894,0.2761651393814437,0.21272680412371134,0.10207130584192432,0.5588060137457049
1935,0.7794678283151818,0.5549970531710451,0.24662291479820625,0.22365544707238946,0.2296258167841127,0.3550445227418322,0.5445181934657274
1936,0.6019832632999995,0.6233780500000001,0.2640076749500002,0.11850880667999993,0.21355614999999967,0.6271309499999987,0.5612937999999996
1937,0.8655405612708025,0.5426403933434191,0.3105124508320725,0.3286776088048414,0.22534009077155825,0.08578350983358546,0.5850388804841145
1938,0.9136303530546632,0.48051045016077204,0.2812483922829584,0.37636335974276536,0.2360196141479098,0.09528697749196152,0.5146599839228292
1939,0.9090123100000008,0.5136558000000002,0.2848278000000002,0.28158795441000023,0.24085729999999994,0.12867819999999994,0.5612246999999995
1940,0.8465204781704744,0.5254509875259874,0.3122784251559252,0.3229132917099791,0.2624801975051977,0.2457615384615385,0.6221963825363829
1941,0.8946919855222363,0.4810745604963815,0.2654865253360909,0.4427099635367114,0.20159855222337106,0.09181220268872828,0.4806512926577037
1942,0.8536987646363056,0.4650137196924897,0.2554481194559435,0.3938495491070367,0.21241129509166132,0.08398143110585449,0.4781145476049686
1943,0.9030772355742333,0.4550971988795515,0.2798906582633053,0.4100970037254907,0.2398495798319331,0.10559019607843136,0.4953791316526606
1944,0.9082415045395608,0.5025696498054477,0.2526620881971467,0.4509160582230864,0.2368885862516212,0.17254306095979233,0.5419750972762646
1945,0.7113860130000009,0.5178561500000012,0.2254125705000001,0.2749280698699996,0.2033342000000001,0.3017135499999997,0.4914163
1946,0.9206274223245068,0.4151410817031068,0.22236073647871105,0.4867359873647865,0.21050316455696225,0.0885256041426929,0.4007510932105872
1947,0.9156553832938352,0.4721039099526072,0.2629551777251187,0.3512090884182467,0.22344502369668234,0.10022861374407584,0.5091807464454978
1948,0.9229491499999952,0.4627362500000003,0.2414835490000002,0.3618871379399996,0.2187986499999996,0.16078170000000028,0.4622106500000003
1949,0.9070877949999956,0.4440308999999995,0.2472140149999996,0.2987586894049996,0.2095805000000004,0.10339205000000004,0.43433360000000026
1950,0.8228144005999973,0.5290370500000003,0.30353605000000045,0.2116878559149997,0.22493150000000026,0.2504793500000001,0.5570353999999995
1951,0.9003344356499973,0.4614230999999999,0.25727004000000003,0.3032900804900004,0.21953989999999998,0.10735124999999997,0.44362545
1952,0.8755217394999967,0.45602120000000007,0.2556151100000002,0.28386363184000024,0.2338555499999999,0.13780309999999982,0.4429670620499996
1953,0.8917467414999969,0.44083370000000005,0.2674182099999997,0.3146247884099999,0.2214423999999999,0.09259075000000004,0.43225100000000016
1954,0.8674129972999983,0.4603712499999994,0.2635610349999999,0.2913203831600004,0.2160078,0.10324314999999984,0.4472911499999997
1955,0.8491544579549977,0.4863890999999999,0.2883765949999996,0.2297107907100001,0.22401234999999967,0.09799290000000016,0.4693549500000002
1956,0.8234554899999978,0.4892960500000006,0.3026952100000004,0.2321064170750001,0.1840064000000007,0.06287684999999993,0.5086227499999999
1957,0.7937751000000021,0.5036533999999999,0.2938097549999997,0.20377219364,0.1862875999999999,0.06757559999999994,0.5109486000000003
1958,0.7774467449999998,0.4781315499999994,0.3088676800000003,0.18986254418499987,0.2026458500000005,0.057619099999999875,0.4903349500000001
1959,0.7849092200000009,0.4797628500000005,0.3122101900000001,0.1838199089899998,0.19251640000000025,0.06436665000000008,0.478257100000001
1960,0.7682544230000004,0.4820517000000005,0.3393798000000001,0.18165535376999992,0.20775540000000028,0.06495709999999995,0.5190262500000005
1961,0.7581470750000001,0.4877147500000002,0.33607667399999924,0.2653712692050001,0.2076433499999996,0.059272099999999925,0.5073552999999997
